id_personne,cosop_gmf,code_pcs_marque,csp_gmf,date_debut
5000336605,     ,99,99,1998-11-25
5000336745,97   ,54,91,2015-12-01
5000336835,97   ,51,95,2017-03-28
5000337075,42   ,51,95,2016-06-08
5000337215,80   ,54,86,2021-09-10
5000337245,     ,99,99,1998-11-26
5000337265,97   ,99,87,1999-03-16
5000337425,97   ,54,95,0001-01-01
5000337985,97   ,  ,91,2021-11-10
5000338235,460  ,51,95,2020-03-06
5000338395,97   ,99,90,2007-11-14
5000338495,55   ,51,75,2020-12-24
5000338605,80   ,  ,99,2019-03-25
5000338755,     ,99,99,1999-04-20
5000339525,     ,99,  ,0001-01-01
5000339555,80   ,54,87,2000-12-07
5000339855,     ,99,  ,0001-01-01
5000339955,97   ,54,91,2017-09-30
5000340045,97   ,  ,91,2015-02-10
5000340065,     ,99,99,1998-04-08
5000340135,50   ,51,95,2017-12-18
5000340655,41   ,51,95,2018-11-23
5000340675,50   ,51,95,2016-09-09
5000341065,50   ,51,95,2014-11-03
5000341205,360  ,51,95,2019-11-06
5000341385,42   ,45,75,2017-09-13
5000341805,     ,99,99,1997-07-04
5000341865,97   ,54,91,2015-10-13
5000342305,     ,99,90,2000-04-18
5000342445,16   ,51,75,2000-04-18
5000342495,22   ,51,75,2000-08-03
5000342845,80   ,54,86,2023-02-22
5000343315,97   ,40,65,2009-10-07
5000343625,97   ,54,91,2017-03-28
5000343945,80   ,  ,88,2007-11-13
5000344055,     ,99,75,2002-08-20
5000345155,80   ,54,87,2018-06-01
5000345265,80   ,54,87,2007-11-13
5000345515,80   ,54,87,2007-01-19
5000345945,     ,99,99,2002-12-30
5000346065,97   ,  ,05,2018-07-11
5000346135,97   ,54,05,2012-05-25
5000346365,97   ,  ,05,2023-10-31
5000346975,80   ,99,  ,1997-07-03
5000348155,     ,99,99,1997-07-05
5000348205,31   ,51,75,2018-04-17
5000348715,     ,99,99,1997-07-09
5000348985,90   ,43,86,2012-12-05
5000350015,89   ,99,75,1997-11-25
5000350195,80   ,54,75,1999-09-04
5000351125,42   ,51,75,1999-11-23
5000351645,     ,99,  ,0001-01-01
5000351995,30   ,51,95,2015-06-09
5000352455,42   ,99,75,1997-05-06
5000352495,80   ,99,99,1998-11-20
5000352575,     ,99,87,1998-11-05
5000352655,80   ,36,88,2002-10-09
5000352705,97   ,54,91,2022-07-26
5000352785,89   ,50,75,1997-05-12
5000353465,90   ,99,99,1999-04-26
5000353555,86   ,51,95,2019-03-20
5000355255,80   ,36,88,2017-03-31
5000355285,42   ,  ,75,2010-03-12
5000355875,30   ,51,95,2016-09-07
5000356185,80   ,54,87,2013-06-17
5000356575,     ,99,75,1998-11-03
5000356755,97   ,54,99,2023-10-13
5000357205,     ,99,99,1997-08-13
5000357255,50   ,51,75,2016-11-03
5000358095,     ,99,  ,0001-01-01
5000359265,     ,99,75,1998-09-21
5000359715,     ,99,75,1998-04-04
5000360145,80   ,99,88,1998-09-17
5000360405,93   ,60,87,2012-05-30
5000360905,97   ,54,91,2018-01-18
5000361445,97   ,54,86,2008-07-28
5000361455,     ,99,99,1998-02-20
5000362135,     ,99,90,1999-03-24
5000362195,97   ,54,91,2024-01-31
5000362245,77   ,50,75,1998-11-30
5000362595,     ,99,99,1997-08-01
5000362705,22   ,51,75,2007-01-10
5000364655,97   ,  ,91,2021-11-04
5000365985,96   ,51,75,2017-01-27
5000366865,     ,99,  ,0001-01-01
5000366935,     ,99,75,1998-07-03
5000367255,97   ,82,05,2011-06-27
5000367325,80   ,22,65,1999-05-10
5000367365,42   ,51,95,2018-08-03
5000367565,80   ,54,88,2008-02-02
5000368315,     ,99,05,1998-02-22
5000368565,80   ,50,88,1998-03-18
5000368615,97   ,61,91,2015-01-06
5000369065,     ,99,75,1998-03-25
5000369755,89   ,36,95,2020-06-05
5000369785,90   ,  ,99,2000-09-27
5000370455,97   ,82,05,2019-06-26
5000370755,97   ,54,91,2010-06-09
5000370925,     ,99,75,1998-05-27
5000371155,97   ,54,86,2006-12-19
5000372825,81   ,32,95,2011-09-27
5000373325,     ,99,  ,0001-01-01
5000373475,36   ,51,95,2016-01-05
5000373555,77   ,51,75,2022-09-30
5000373645,     ,99,05,1998-03-16
5000373835,97   ,54,87,2007-11-05
5000374335,30   ,  ,95,2018-12-27
5000374685,80   ,99,  ,2006-06-19
5000374715,30   ,  ,95,2018-07-02
5000375045,80   ,99,87,1999-04-09
5000375325,     ,99,05,1997-08-29
5000376055,80   ,54,87,2010-04-30
5000377075,93   ,54,91,2021-08-06
5000377215,88   ,  ,95,2023-04-12
5000377325,     ,99,75,1999-03-22
5000378525,31   ,51,75,2014-12-04
5000378605,22   ,51,95,2023-11-20
5000379375,     ,99,05,1999-11-03
5000380025,97   ,32,95,2023-06-20
5000380515,50   ,51,95,2023-04-04
5000380945,93   ,  ,90,2008-08-22
5000382955,     ,99,88,1997-11-20
5000383695,     ,99,  ,0001-01-01
5000383935,80   ,  ,99,2009-04-07
5000383945,93   ,99,99,2012-05-30
5000384035,97   ,  ,91,2018-07-30
5000384535,80   ,54,87,2014-10-21
5000384785,     ,99,88,2011-03-14
5000385695,97   ,54,91,2011-02-24
5000385725,77   ,51,95,2016-09-15
5000385865,93   ,50,88,1998-10-23
5000386105,93   ,54,91,2016-02-01
5000386535,90   ,36,88,2013-03-13
5000386755,     ,99,75,1997-06-09
5000387715,31   ,54,95,2017-05-04
5000387895,97   ,54,91,2024-01-18
5000389215,     ,99,86,1998-05-19
5000389345,93   ,54,91,2022-11-17
5000390075,30   ,54,75,2017-11-16
5000390385,     ,99,75,2012-11-30
5000390535,97   ,  ,91,2018-03-07
5000390655,     ,99,  ,0001-01-01
5000391115,     ,99,  ,0001-01-01
5000391505,     ,99,75,1999-08-04
5000391535,163  ,51,75,2018-03-12
5000392115,     ,99,  ,0001-01-01
5000392805,     ,99,87,1999-03-19
5000393095,     ,99,  ,0001-01-01
5000393995,93   ,54,88,2013-02-04
5000394515,     ,99,  ,0001-01-01
5000395165,97   ,31,91,2023-06-10
5000395325,90   ,99,99,1998-06-13
5000400485,42   ,51,95,2018-02-26
5000400545,360  ,51,95,2023-09-26
5000401065,166  ,51,95,2024-06-18
5000403305,50   ,50,75,1998-03-24
5000403555,93   ,54,91,2023-03-23
5000403905,93   ,54,86,2020-02-08
5000405795,80   ,50,  ,0001-01-01
5000407875,62   ,51,75,2024-04-11
5000408085,45   ,51,75,2017-04-28
5000409495,80   ,80,  ,0001-01-01
5000409545,62   ,54,75,2023-10-20
5000411545,80   ,54,87,2011-01-24
5000416155,30   ,51,95,2012-03-12
5000417325,93   ,54,91,2017-09-14
5000417755,80   ,54,86,2009-12-18
5000419765,50   ,51,75,2006-05-17
5000420615,76   ,51,95,2017-07-07
5000424375,76   ,  ,95,2009-04-06
5000429915,61   ,50,  ,0001-01-01
5000430185,90   ,50,  ,0001-01-01
5000430345,42   ,51,75,2012-08-29
5000431235,41   ,80,  ,0001-01-01
5000431265,88   ,50,75,2002-01-19
5000431885,460  ,51,75,2022-06-07
5000432045,42   ,51,95,2021-04-30
5000432955,64   ,51,75,2013-09-10
5000436185,213  ,51,75,2018-11-12
5000436655,80   ,50,88,1998-04-01
5000437965,38   ,99,75,2012-05-30
5000438965,80   ,50,75,1998-11-25
5000439175,30   ,32,95,2019-03-25
5000440595,80   ,54,88,2007-06-20
5000440915,22   ,32,75,2023-02-24
5000441415,16   ,50,90,2002-09-27
5000441925,80   ,54,88,2003-08-12
5000442635,30   ,31,65,2018-04-28
5000443645,97   ,54,88,2011-05-12
5000444725,80   ,21,65,2013-06-11
5000446055,97   ,36,88,2013-09-02
5000446415,89   ,51,95,2011-02-16
5000448535,97   ,36,86,2019-11-15
5000449505,77   ,51,75,2015-03-10
5000449515,360  ,54,87,2021-12-06
5000450265,78   ,54,89,2016-12-20
5000451125,42   ,54,75,2012-05-30
5000452195,10   ,51,95,2019-07-17
5000452565,42   ,51,95,2021-01-21
5000452705,80   ,50,87,1998-11-03
5000453935,12   ,51,75,2023-12-15
5000454095,42   ,50,75,1997-10-18
5000455625,59   ,  ,90,2006-09-29
5000458805,85   ,50,  ,0001-01-01
5000460145,30   ,51,95,2016-04-11
5000461275,80   ,54,87,2009-08-28
5000463975,80   ,54,87,2011-02-19
5000464765,30   ,54,86,2016-08-04
5000465915,89   ,51,75,2020-01-31
5000467355,10   ,54,86,2019-11-19
5000468075,80   ,80,  ,1997-11-04
5000469215,31   ,51,75,2017-02-27
5000469495,93   ,54,99,2016-07-01
5000473305,42   ,51,75,2017-05-17
5000473785,81   ,  ,90,2008-05-06
5000473945,78   ,54,89,2024-01-15
5000474285,76   ,  ,75,2008-04-18
5000478875,80   ,50,87,1999-03-17
5000479405,97   ,54,87,2009-02-26
5000480105,80   ,82,99,2023-12-15
5000480675,50   ,51,95,2017-12-18
5000486845,360  ,51,95,2023-08-04
5000488675,78   ,54,89,2021-02-17
5000489255,80   ,99,99,2008-09-04
5000489505,42   ,51,75,2012-05-30
5000491305,30   ,51,95,2022-10-07
5000492315,80   ,99,  ,1997-03-11
5000492875,97   ,50,86,2005-03-01
5000493015,97   ,  ,86,2022-07-21
5000494895,30   ,51,75,2013-03-06
5000494925,50   ,  ,75,2003-05-07
5000496315,31   ,51,75,2020-07-17
5000496605,86   ,  ,87,2015-08-28
5000498625,80   ,50,88,1997-05-22
5000498665,80   ,54,88,2024-06-06
5000498875,80   ,54,88,2017-12-15
5000499245,80   ,31,65,2016-05-18
5000502685,97   ,54,86,2007-06-29
5000503205,90   ,99,  ,0001-01-01
5000503605,12   ,51,75,2019-04-30
5000503845,76   ,51,95,2011-07-20
5000504005,80   ,54,87,2012-01-24
5000504825,81   ,99,75,2000-02-09
5000507435,97   ,54,91,2015-07-23
5000508985,78   ,54,89,2010-07-29
5000510835,80   ,54,86,2019-11-20
5000511445,30   ,54,99,2024-02-13
5000513835,77   ,32,95,2019-04-09
5000515165,93   ,36,86,2006-08-25
5000516545,80   ,54,88,2018-02-01
